time,q1,q2,q3,q4,q5,q6,q7
1.15,-8.46167e-07,0.234726,2.28083e-06,-0.136462,3.63252e-06,0.371026,5.19148e-06
1.16,-8.46755e-07,0.2362,2.29294e-06,-0.138492,3.65613e-06,0.374556,5.22918e-06
1.17,-8.47344e-07,0.237674,2.30505e-06,-0.140521,3.67973e-06,0.378085,5.26687e-06
1.18,-8.47946e-07,0.239148,2.31716e-06,-0.14255,3.70335e-06,0.381615,5.30455e-06
1.19,-8.47848e-07,0.240609,2.32868e-06,-0.144595,3.72576e-06,0.385148,5.34112e-06
1.2,-8.47749e-07,0.24207,2.34019e-06,-0.146639,3.74818e-06,0.38868,5.37768e-06
1.21,-8.46875e-07,0.243511,2.35096e-06,-0.148705,3.76911e-06,0.392217,5.41274e-06
1.22,-8.46e-07,0.244952,2.36172e-06,-0.150771,3.79004e-06,0.395754,5.4478e-06
1.23,-8.4489e-07,0.246382,2.37214e-06,-0.15285,3.81037e-06,0.399293,5.48215e-06
1.24,-8.43894e-07,0.247805,2.38236e-06,-0.154934,3.83043e-06,0.402833,5.51595e-06
1.25,-8.42898e-07,0.249229,2.39258e-06,-0.157019,3.8505e-06,0.406372,5.54975e-06
1.26,-8.41596e-07,0.250641,2.40232e-06,-0.159115,3.86964e-06,0.409913,5.58242e-06
1.27,-8.40293e-07,0.252053,2.41206e-06,-0.161211,3.88879e-06,0.413454,5.6151e-06
1.28,-8.39102e-07,0.253465,2.42181e-06,-0.163307,3.90798e-06,0.416995,5.64772e-06
1.29,-8.3791e-07,0.254877,2.43155e-06,-0.165404,3.92717e-06,0.420536,5.68033e-06
1.3,-8.36167e-07,0.256273,2.44094e-06,-0.167515,3.94565e-06,0.424078,5.71246e-06
1.31,-8.34637e-07,0.257668,2.45038e-06,-0.169627,3.96432e-06,0.42762,5.74464e-06
1.32,-8.33108e-07,0.259064,2.45982e-06,-0.171738,3.98299e-06,0.431162,5.77682e-06
1.33,-8.31368e-07,0.260449,2.46904e-06,-0.173859,4.00127e-06,0.434705,5.80863e-06
1.34,-8.29418e-07,0.261825,2.47808e-06,-0.175988,4.01923e-06,0.438247,5.84018e-06
1.35,-8.27468e-07,0.263201,2.48712e-06,-0.178117,4.03719e-06,0.441789,5.87174e-06
1.36,-8.25431e-07,0.264572,2.49588e-06,-0.180249,4.0546e-06,0.44533,5.9025e-06
1.37,-8.23394e-07,0.265943,2.50463e-06,-0.182381,4.072e-06,0.448872,5.93327e-06
1.38,-8.20308e-07,0.267296,2.51268e-06,-0.184526,4.08773e-06,0.452411,5.96262e-06
1.39,-8.17675e-07,0.268645,2.52083e-06,-0.186672,4.1039e-06,0.455949,5.99215e-06
1.4,-8.15042e-07,0.269995,2.52897e-06,-0.188819,4.12008e-06,0.459486,6.02169e-06
1.41,-8.12646e-07,0.271344,2.53714e-06,-0.190965,4.13641e-06,0.463024,6.05119e-06
1.42,-8.1025e-07,0.272694,2.54531e-06,-0.193112,4.15274e-06,0.466562,6.08069e-06
1.43,-8.07376e-07,0.274028,2.55319e-06,-0.195265,4.16847e-06,0.470095,6.10983e-06
1.44,-8.04597e-07,0.275363,2.56115e-06,-0.197419,4.18441e-06,0.473627,6.13921e-06
1.45,-8.01819e-07,0.276697,2.56912e-06,-0.199572,4.20036e-06,0.47716,6.1686e-06
1.46,-7.9866e-07,0.278022,2.57688e-06,-0.201728,4.21586e-06,0.480687,6.19776e-06
1.47,-7.95501e-07,0.279347,2.58465e-06,-0.203884,4.23137e-06,0.484215,6.22692e-06
1.48,-7.92179e-07,0.280666,2.5924e-06,-0.20604,4.24685e-06,0.487738,6.25628e-06
1.49,-7.88899e-07,0.281982,2.60015e-06,-0.208196,4.26241e-06,0.491259,6.28572e-06
1.5,-7.85618e-07,0.283298,2.60789e-06,-0.210351,4.27796e-06,0.494781,6.31516e-06
1.51,-7.82135e-07,0.28461,2.61545e-06,-0.212506,4.29309e-06,0.498297,6.34417e-06
1.52,-7.78651e-07,0.285921,2.623e-06,-0.21466,4.30821e-06,0.501813,6.37318e-06
1.53,-7.75199e-07,0.287232,2.63059e-06,-0.216815,4.32344e-06,0.505329,6.40232e-06
1.54,-7.71351e-07,0.288537,2.638e-06,-0.218965,4.33819e-06,0.508837,6.43123e-06
1.55,-7.67504e-07,0.289842,2.6454e-06,-0.221116,4.35294e-06,0.512346,6.46013e-06
1.56,-7.63481e-07,0.291143,2.6528e-06,-0.223262,4.36768e-06,0.515848,6.48926e-06
1.57,-7.59459e-07,0.292444,2.6602e-06,-0.225409,4.38242e-06,0.51935,6.51839e-06
1.58,-7.55286e-07,0.293741,2.66757e-06,-0.227551,4.39712e-06,0.522845,6.54768e-06
1.59,-7.51176e-07,0.295039,2.67502e-06,-0.229692,4.412e-06,0.526341,6.57718e-06
1.6,-7.47065e-07,0.296337,2.68247e-06,-0.231834,4.42688e-06,0.529836,6.60669e-06
1.61,-7.4295e-07,0.297634,2.68983e-06,-0.233973,4.44161e-06,0.533328,6.63597e-06
1.62,-7.38836e-07,0.29893,2.69718e-06,-0.236112,4.45633e-06,0.53682,6.66525e-06
1.63,-7.34131e-07,0.300222,2.70436e-06,-0.238237,4.4705e-06,0.540297,6.69442e-06
1.64,-7.29428e-07,0.301513,2.71162e-06,-0.240358,4.48489e-06,0.54377,6.72397e-06
1.65,-7.24724e-07,0.302805,2.71888e-06,-0.242479,4.49928e-06,0.547243,6.75353e-06
1.66,-7.19719e-07,0.304095,2.72595e-06,-0.244592,4.51314e-06,0.550708,6.78262e-06
1.67,-7.14714e-07,0.305385,2.73301e-06,-0.246704,4.527e-06,0.554172,6.81172e-06
1.68,-7.09895e-07,0.306675,2.74018e-06,-0.248816,4.5412e-06,0.557637,6.84115e-06
1.69,-7.05146e-07,0.307965,2.74744e-06,-0.250919,4.55569e-06,0.561092,6.87102e-06
1.7,-7.00397e-07,0.309254,2.7547e-06,-0.253021,4.57018e-06,0.564548,6.90089e-06
1.71,-6.95439e-07,0.310544,2.76189e-06,-0.255107,4.58451e-06,0.567989,6.93085e-06
1.72,-6.90482e-07,0.311833,2.76909e-06,-0.257193,4.59885e-06,0.571431,6.9608e-06
1.73,-6.85394e-07,0.313123,2.77631e-06,-0.259273,4.61321e-06,0.574867,6.99098e-06
